"device_database_name","address","name","version","logging_interval","last_pointer","mode","last_download","thresholds","calibration_temp","calibration_dewp","calibration_press","calibration_humi"
"C9:C6:AA:20:88:31_2019-Jul-01 17:51","C9:C6:AA:20:88:31","BM21_TRH","23","600","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"log_index","Time","Temperature","Humidity","Dewpoint",,,,,,,,
"0","2019-Jul-01 17:51","3.5","79.5","0.2","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"1","2019-Jul-01 18:01","3.2","80.4","0.1","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"2","2019-Jul-01 18:11","2.9","83.2","0.3","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"3","2019-Jul-01 18:21","2.7","84.3","0.3","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"4","2019-Jul-01 18:31","2.5","84.8","0.2","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"5","2019-Jul-01 18:41","2.4","86.2","0.3","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"6","2019-Jul-01 18:51","2.4","86.8","0.4","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"7","2019-Jul-01 19:01","2.6","86.7","0.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"8","2019-Jul-01 19:11","2.8","87.8","0.9","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"9","2019-Jul-01 19:21","3.1","88.9","1.4","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"10","2019-Jul-01 19:31","3.3","89.5","1.7","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"11","2019-Jul-01 19:41","3.3","88.8","1.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"12","2019-Jul-01 19:51","3.4","88.6","1.7","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"13","2019-Jul-01 20:01","3.5","88.1","1.7","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"14","2019-Jul-01 20:11","3.4","87.7","1.5","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"15","2019-Jul-01 20:21","3.1","87.5","1.2","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"16","2019-Jul-01 20:31","2.9","88.6","1.2","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"17","2019-Jul-01 20:41","2.6","89.2","1.0","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"18","2019-Jul-01 20:51","2.4","89.4","0.8","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"19","2019-Jul-01 21:01","2.0","89.7","0.4","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"20","2019-Jul-01 21:11","1.8","90.5","0.4","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"21","2019-Jul-01 21:21","1.4","90.5","0.0","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"22","2019-Jul-01 21:31","1.0","90.5","-0.3","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"23","2019-Jul-01 21:41","0.6","91.1","-0.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"24","2019-Jul-01 21:51","0.3","91.5","-0.9","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"25","2019-Jul-01 22:01","0.0","91.8","-1.1","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"26","2019-Jul-01 22:11","-0.1","92.3","-1.1","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"27","2019-Jul-01 22:21","-0.3","92.7","-1.3","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"28","2019-Jul-01 22:31","-0.5","92.8","-1.5","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"29","2019-Jul-01 22:41","-0.7","93.2","-1.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"30","2019-Jul-01 22:51","-0.8","93.6","-1.7","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"31","2019-Jul-01 23:01","-0.9","93.9","-1.7","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"32","2019-Jul-01 23:11","-1.0","94","-1.8","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"33","2019-Jul-01 23:21","-1.1","94.3","-1.8","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"34","2019-Jul-01 23:31","-1.1","94.6","-1.8","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"35","2019-Jul-01 23:41","-1.1","94.8","-1.8","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"36","2019-Jul-01 23:51","-1.0","95.2","-1.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"37","2019-Jul-02 00:01","-1.0","95.4","-1.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"38","2019-Jul-02 00:11","-0.9","95.6","-1.5","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"39","2019-Jul-02 00:21","-1.0","95.5","-1.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"40","2019-Jul-02 00:31","-1.0","95.7","-1.5","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"41","2019-Jul-02 00:41","-1.1","95.8","-1.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"42","2019-Jul-02 00:51","-1.2","95.9","-1.7","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"43","2019-Jul-02 01:01","-1.1","96.1","-1.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"44","2019-Jul-02 01:11","-1.1","96.2","-1.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"45","2019-Jul-02 01:21","-1.1","96.3","-1.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"46","2019-Jul-02 01:31","-1.2","96.3","-1.7","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"47","2019-Jul-02 01:41","-1.2","96.5","-1.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"48","2019-Jul-02 01:51","-1.1","96.6","-1.5","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"49","2019-Jul-02 02:01","-1.0","96.8","-1.4","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"50","2019-Jul-02 02:11","-0.9","96.9","-1.3","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"51","2019-Jul-02 02:21","-1.0","96.9","-1.4","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"52","2019-Jul-02 02:31","-1.0","97","-1.4","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"53","2019-Jul-02 02:41","-0.8","97.3","-1.1","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"54","2019-Jul-02 02:51","-0.5","97.4","-0.8","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"55","2019-Jul-02 03:01","-0.3","97.5","-0.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"56","2019-Jul-02 03:11","0.0","97.7","-0.3","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"57","2019-Jul-02 03:21","0.1","97.8","-0.2","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"58","2019-Jul-02 03:31","0.7","98.1","0.4","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"59","2019-Jul-02 03:41","1.8","98.6","1.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"60","2019-Jul-02 03:51","3.8","99.1","3.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"61","2019-Jul-02 04:01","5.5","99.4","5.4","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"62","2019-Jul-02 04:11","7.4","99.2","7.2","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"63","2019-Jul-02 04:21","10.4","87.9","8.4","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"64","2019-Jul-02 04:31","13.2","74.9","8.8","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"65","2019-Jul-02 04:41","15.0","65","8.5","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"66","2019-Jul-02 04:51","16.5","58.6","8.4","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"67","2019-Jul-02 05:01","18.1","52.8","8.3","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"68","2019-Jul-02 05:11","19.2","48.6","8.1","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"69","2019-Jul-02 05:21","20.3","42.2","7.1","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"70","2019-Jul-02 05:31","21.1","43.2","8.1","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"71","2019-Jul-02 05:41","21.5","39.7","7.3","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"72","2019-Jul-02 05:51","22.0","38.7","7.4","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"73","2019-Jul-02 06:01","22.5","36.8","7.1","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"74","2019-Jul-02 06:11","23.0","35.1","6.8","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"75","2019-Jul-02 06:21","23.3","32.7","6.1","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"76","2019-Jul-02 06:31","23.5","31.6","5.8","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"77","2019-Jul-02 06:41","23.8","29.9","5.2","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"78","2019-Jul-02 06:51","24.0","28.1","4.5","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"79","2019-Jul-02 07:01","24.4","31.2","6.4","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"80","2019-Jul-02 07:11","24.7","25.2","3.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"81","2019-Jul-02 07:21","23.5","26.7","3.3","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"82","2019-Jul-02 07:31","24.3","26.3","3.8","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"83","2019-Jul-02 07:41","24.8","24.6","3.3","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"84","2019-Jul-02 07:51","25.2","22.6","2.5","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"85","2019-Jul-02 08:01","25.0","22","1.9","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"86","2019-Jul-02 08:11","25.5","24.1","3.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"87","2019-Jul-02 08:21","25.6","22.1","2.5","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"88","2019-Jul-02 08:31","25.6","21.9","2.3","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"89","2019-Jul-02 08:41","25.7","22","2.5","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"90","2019-Jul-02 08:51","24.6","21.3","1.1","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"91","2019-Jul-02 09:01","25.7","24.3","3.9","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"92","2019-Jul-02 09:11","26.3","21.1","2.4","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"93","2019-Jul-02 09:21","26.1","22.2","3.0","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"94","2019-Jul-02 09:31","26.1","22.3","3.0","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"95","2019-Jul-02 09:41","26.4","19.2","1.2","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"96","2019-Jul-02 09:51","26.2","20.2","1.7","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"97","2019-Jul-02 10:01","25.3","21.1","1.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"98","2019-Jul-02 10:11","25.9","21.3","2.2","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"99","2019-Jul-02 10:21","25.6","24","3.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"100","2019-Jul-02 10:31","26.0","22.7","3.2","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"101","2019-Jul-02 10:41","26.3","21.8","2.9","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"102","2019-Jul-02 10:51","26.2","19.6","1.3","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"103","2019-Jul-02 11:01","26.4","19.2","1.2","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"104","2019-Jul-02 11:11","25.8","18.8","0.4","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"105","2019-Jul-02 11:21","25.7","24.6","4.1","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"106","2019-Jul-02 11:31","25.8","21.1","2.0","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"107","2019-Jul-02 11:41","25.9","19.3","0.8","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"108","2019-Jul-02 11:51","26.1","20.3","1.7","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"109","2019-Jul-02 12:01","25.8","21.5","2.3","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"110","2019-Jul-02 12:11","25.7","23.2","3.2","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"111","2019-Jul-02 12:21","25.8","21.1","2.0","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"112","2019-Jul-02 12:31","25.0","20.5","0.9","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"113","2019-Jul-02 12:41","24.8","20.5","0.8","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"114","2019-Jul-02 12:51","24.9","20","0.5","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"115","2019-Jul-02 13:01","24.8","18","-0.9","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"116","2019-Jul-02 13:11","24.5","20.1","0.2","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"117","2019-Jul-02 13:21","23.9","22.3","1.2","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"118","2019-Jul-02 13:31","23.3","21.8","0.3","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"119","2019-Jul-02 13:41","23.1","23.5","1.2","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"120","2019-Jul-02 13:51","22.8","26.4","2.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"121","2019-Jul-02 14:01","22.4","23.4","0.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"122","2019-Jul-02 14:11","22.3","25.4","1.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"123","2019-Jul-02 14:21","22.3","22.7","0.1","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"124","2019-Jul-02 14:31","21.8","22.5","-0.4","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"125","2019-Jul-02 14:41","20.2","28.2","1.3","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"126","2019-Jul-02 14:51","18.5","32.1","1.6","2951","1","2019-10-13 13:30:21","","0","0","0","0"
"127","2019-Jul-02 15:01","17.1","30.9","-0.1","2951","1","2019-10-13 13:30:21","","0","0","0","0"
