"device_database_name","address","name","version","logging_interval","last_pointer","mode","last_download","thresholds","calibration_temp","calibration_dewp","calibration_press","calibration_humi"
"C7:A9:52:58:0C:33_2019-Jul-04 10:01","C7:A9:52:58:0C:33","BM25_TRH","23","3600","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"log_index","Time","Temperature","Humidity","Dewpoint",,,,,,,,
"0","2019-Jul-04 10:01","20.7","32.3","3.6","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"1","2019-Jul-04 11:01","26.2","31.5","8.1","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"2","2019-Jul-04 12:01","24.6","25.1","3.4","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"3","2019-Jul-04 13:01","23.9","30.3","5.5","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"4","2019-Jul-04 14:01","24.5","33.5","7.5","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"5","2019-Jul-04 15:01","21.5","51.3","11.1","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"6","2019-Jul-04 16:01","22.7","51.1","12.1","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"7","2019-Jul-04 17:01","22.2","44","9.4","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"8","2019-Jul-04 18:01","20.9","46.8","9.1","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"9","2019-Jul-04 19:01","17.3","49.7","6.7","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"10","2019-Jul-04 20:01","15.8","52.1","6.0","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"11","2019-Jul-04 21:01","14.5","61.3","7.1","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"12","2019-Jul-04 22:01","12.6","65.4","6.3","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"13","2019-Jul-04 23:01","8.8","69.3","3.5","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"14","2019-Jul-05 00:01","7.3","62.7","0.6","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"15","2019-Jul-05 01:01","6.4","60","-0.7","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"16","2019-Jul-05 02:01","6.0","59.2","-1.3","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"17","2019-Jul-05 03:01","5.4","61","-1.5","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"18","2019-Jul-05 04:01","8.4","48.9","-1.7","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"19","2019-Jul-05 05:01","8.0","49.7","-1.8","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"20","2019-Jul-05 06:01","4.9","61.1","-1.9","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"21","2019-Jul-05 07:01","7.4","63.2","0.8","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"22","2019-Jul-05 08:01","14.5","51.9","4.7","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"23","2019-Jul-05 09:01","19.3","46.1","7.5","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"24","2019-Jul-05 10:01","20.7","47.5","9.2","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"25","2019-Jul-05 11:01","22.7","44.8","10.1","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"26","2019-Jul-05 12:01","20.8","47.2","9.2","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"27","2019-Jul-05 13:01","20.8","33.9","4.4","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"28","2019-Jul-05 14:01","22.7","26.5","2.6","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"29","2019-Jul-05 15:01","21.1","29","2.4","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"30","2019-Jul-05 16:01","19.9","31.1","2.4","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"31","2019-Jul-05 17:01","21.9","26.2","1.7","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"32","2019-Jul-05 18:01","19.9","29.1","1.4","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"33","2019-Jul-05 19:01","16.3","63.9","9.5","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"34","2019-Jul-05 20:01","13.9","75.1","9.5","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"35","2019-Jul-05 21:01","12.9","83.4","10.1","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"36","2019-Jul-05 22:01","11.3","88","9.3","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"37","2019-Jul-05 23:01","10.6","89.7","8.9","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"38","2019-Jul-06 00:01","9.0","89.7","7.4","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"39","2019-Jul-06 01:01","8.4","88.3","6.5","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"40","2019-Jul-06 02:01","6.9","90.9","5.5","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"41","2019-Jul-06 03:01","6.1","94","5.2","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"42","2019-Jul-06 04:01","6.7","86.7","4.6","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"43","2019-Jul-06 05:01","6.5","83.1","3.8","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"44","2019-Jul-06 06:01","5.8","84","3.3","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"45","2019-Jul-06 07:01","6.7","83.3","4.0","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"46","2019-Jul-06 08:01","12.4","75.3","8.1","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"47","2019-Jul-06 09:01","17.8","59.1","9.7","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"48","2019-Jul-06 10:01","19.9","53.9","10.3","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"49","2019-Jul-06 11:01","19.4","57.7","10.9","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"50","2019-Jul-06 12:01","15.6","65.6","9.2","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"51","2019-Jul-06 13:01","20.2","61.8","12.7","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"52","2019-Jul-06 14:01","17.2","63.5","10.2","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"53","2019-Jul-06 15:01","22.2","47.1","10.4","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"54","2019-Jul-06 16:01","19.4","55.9","10.4","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"55","2019-Jul-06 17:01","17.3","43.4","4.8","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"56","2019-Jul-06 18:01","17.4","51.8","7.4","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"57","2019-Jul-06 19:01","14.9","61","7.4","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"58","2019-Jul-06 20:01","15.4","43.9","3.2","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"59","2019-Jul-06 21:01","12.4","60.2","4.9","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"60","2019-Jul-06 22:01","10.1","68.8","4.6","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"61","2019-Jul-06 23:01","8.8","70.6","3.7","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"62","2019-Jul-07 00:01","6.7","74.8","2.5","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"63","2019-Jul-07 01:01","6.9","77","3.1","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"64","2019-Jul-07 02:01","5.9","82.7","3.1","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"65","2019-Jul-07 03:01","4.8","80.6","1.7","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"66","2019-Jul-07 04:01","4.9","77.5","1.3","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"67","2019-Jul-07 05:01","6.6","72.8","2.0","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"68","2019-Jul-07 06:01","9.0","61.5","2.0","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"69","2019-Jul-07 07:01","11.6","56.1","3.1","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"70","2019-Jul-07 08:01","17.0","45.2","5.1","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"71","2019-Jul-07 09:01","19.5","41.5","6.1","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"72","2019-Jul-07 10:01","22.9","33.6","6.1","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"73","2019-Jul-07 11:01","23.8","29.1","4.8","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"74","2019-Jul-07 12:01","22.2","28","2.9","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"75","2019-Jul-07 13:01","19.2","42.5","6.2","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"76","2019-Jul-07 14:01","16.2","46","4.6","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"77","2019-Jul-07 15:01","17.8","47.3","6.5","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"78","2019-Jul-07 16:01","19.8","42.3","6.7","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"79","2019-Jul-07 17:01","16.4","43.5","4.0","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"80","2019-Jul-07 18:01","10.1","78.9","6.6","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"81","2019-Jul-07 19:01","11.6","74.9","7.3","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"82","2019-Jul-07 20:01","10.7","78.8","7.1","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"83","2019-Jul-07 21:01","10.7","75.4","6.5","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"84","2019-Jul-07 22:01","11.4","66.9","5.4","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"85","2019-Jul-07 23:01","10.2","70.3","5.0","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"86","2019-Jul-08 00:01","10.8","68.8","5.3","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"87","2019-Jul-08 01:01","10.5","72.3","5.7","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"88","2019-Jul-08 02:01","9.9","74","5.5","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"89","2019-Jul-08 03:01","10.0","71.7","5.1","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"90","2019-Jul-08 04:01","8.2","74.4","3.9","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"91","2019-Jul-08 05:01","9.4","67.4","3.6","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"92","2019-Jul-08 06:01","9.1","67.2","3.3","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"93","2019-Jul-08 07:01","11.6","64.9","5.2","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"94","2019-Jul-08 08:01","15.7","50.3","5.4","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"95","2019-Jul-08 09:01","21.3","38.9","6.8","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"96","2019-Jul-08 10:01","23.5","38.8","8.7","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"97","2019-Jul-08 11:01","21.0","42.8","7.9","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"98","2019-Jul-08 12:01","18.0","45.3","6.0","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"99","2019-Jul-08 13:01","14.2","51.2","4.3","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"100","2019-Jul-08 14:01","16.1","54.6","7.0","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"101","2019-Jul-08 15:01","16.2","52.9","6.6","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"102","2019-Jul-08 16:01","17.0","47.9","5.9","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"103","2019-Jul-08 17:01","20.6","40.6","6.8","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"104","2019-Jul-08 18:01","15.1","56.5","6.5","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"105","2019-Jul-08 19:01","13.7","49.7","3.4","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"106","2019-Jul-08 20:01","10.9","62.6","4.0","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"107","2019-Jul-08 21:01","7.8","67","2.0","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"108","2019-Jul-08 22:01","7.9","65.6","1.8","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"109","2019-Jul-08 23:01","6.3","69.7","1.1","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"110","2019-Jul-09 00:01","5.6","70.7","0.7","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"111","2019-Jul-09 01:01","5.2","70","0.1","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"112","2019-Jul-09 02:01","6.2","68","0.7","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"113","2019-Jul-09 03:01","6.6","66.9","0.9","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"114","2019-Jul-09 04:01","6.6","68.4","1.2","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"115","2019-Jul-09 05:01","5.5","70.4","0.5","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"116","2019-Jul-09 06:01","5.0","73.3","0.6","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"117","2019-Jul-09 07:01","7.8","68","2.2","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"118","2019-Jul-09 08:01","13.5","55","4.6","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"119","2019-Jul-09 09:01","18.0","40.5","4.4","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"120","2019-Jul-09 10:01","21.4","35.2","5.4","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"121","2019-Jul-09 11:01","21.9","26.7","2.0","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"122","2019-Jul-09 12:01","21.0","31","3.3","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"123","2019-Jul-09 13:01","22.6","23.7","0.9","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"124","2019-Jul-09 14:01","22.7","26.7","2.7","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"125","2019-Jul-09 15:01","22.3","25.1","1.4","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"126","2019-Jul-09 16:01","22.5","25.3","1.7","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"127","2019-Jul-09 17:01","22.3","23.9","0.8","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"128","2019-Jul-09 18:01","19.8","25.7","-0.3","2427","1","2019-10-13 12:25:16","","0","0","0","0"
"129","2019-Jul-09 19:01","17.5","28.3","-0.9","2427","1","2019-10-13 12:25:16","","0","0","0","0"
