"device_database_name","address","name","version","logging_interval","last_pointer","mode","last_download","thresholds","calibration_temp","calibration_dewp","calibration_press","calibration_humi"
"EC:45:A7:7D:72:6D_2019-Jul-04 10:01","EC:45:A7:7D:72:6D","BM26_TRH","23","3600","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"log_index","Time","Temperature","Humidity","Dewpoint",,,,,,,,
"0","2019-Jul-04 10:01","19.1","31.1","1.7","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"1","2019-Jul-04 11:01","22.7","33.7","6.0","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"2","2019-Jul-04 12:01","23.1","33.4","6.2","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"3","2019-Jul-04 13:01","23.6","37.2","8.2","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"4","2019-Jul-04 14:01","24.8","33.2","7.6","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"5","2019-Jul-04 15:01","21.0","52.1","10.8","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"6","2019-Jul-04 16:01","21.5","52.6","11.4","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"7","2019-Jul-04 17:01","22.2","40.4","8.2","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"8","2019-Jul-04 18:01","20.8","48.4","9.5","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"9","2019-Jul-04 19:01","17.1","49.9","6.6","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"10","2019-Jul-04 20:01","15.6","53.8","6.3","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"11","2019-Jul-04 21:01","14.3","64","7.6","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"12","2019-Jul-04 22:01","11.6","69.8","6.3","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"13","2019-Jul-04 23:01","8.4","71","3.4","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"14","2019-Jul-05 00:01","7.4","64.3","1.1","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"15","2019-Jul-05 01:01","6.2","62.4","-0.4","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"16","2019-Jul-05 02:01","5.6","61.7","-1.1","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"17","2019-Jul-05 03:01","5.1","63.9","-1.1","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"18","2019-Jul-05 04:01","7.5","52.8","-1.4","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"19","2019-Jul-05 05:01","6.9","54.1","-1.7","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"20","2019-Jul-05 06:01","5.5","61.1","-1.3","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"21","2019-Jul-05 07:01","10.1","60.1","2.7","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"22","2019-Jul-05 08:01","16.6","48.3","5.6","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"23","2019-Jul-05 09:01","17.6","47.1","6.2","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"24","2019-Jul-05 10:01","18.4","53","8.7","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"25","2019-Jul-05 11:01","19.9","51.2","9.6","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"26","2019-Jul-05 12:01","19.4","52","9.3","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"27","2019-Jul-05 13:01","21.1","34.3","4.8","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"28","2019-Jul-05 14:01","22.9","27.2","3.1","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"29","2019-Jul-05 15:01","22.0","29","3.2","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"30","2019-Jul-05 16:01","20.0","30.2","2.0","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"31","2019-Jul-05 17:01","21.6","27.5","2.1","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"32","2019-Jul-05 18:01","19.6","29.5","1.4","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"33","2019-Jul-05 19:01","16.1","64.2","9.3","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"34","2019-Jul-05 20:01","14.2","75.2","9.9","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"35","2019-Jul-05 21:01","13.0","84.2","10.4","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"36","2019-Jul-05 22:01","11.1","88.3","9.2","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"37","2019-Jul-05 23:01","10.3","92.9","9.2","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"38","2019-Jul-06 00:01","9.0","90.1","7.4","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"39","2019-Jul-06 01:01","8.6","88.6","6.8","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"40","2019-Jul-06 02:01","6.3","92.9","5.2","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"41","2019-Jul-06 03:01","6.1","95.2","5.3","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"42","2019-Jul-06 04:01","6.8","86.4","4.6","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"43","2019-Jul-06 05:01","6.7","81.7","3.8","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"44","2019-Jul-06 06:01","6.1","83.1","3.4","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"45","2019-Jul-06 07:01","8.3","80.3","5.1","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"46","2019-Jul-06 08:01","12.9","73","8.2","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"47","2019-Jul-06 09:01","17.8","58.9","9.7","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"48","2019-Jul-06 10:01","17.7","60","9.8","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"49","2019-Jul-06 11:01","17.9","62.6","10.7","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"50","2019-Jul-06 12:01","15.0","69","9.3","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"51","2019-Jul-06 13:01","19.6","61.4","12.0","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"52","2019-Jul-06 14:01","16.5","64.6","9.8","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"53","2019-Jul-06 15:01","24.1","44.9","11.5","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"54","2019-Jul-06 16:01","19.3","54.9","10.0","2427","1","2019-10-13 12:22:43","","0","0","0","0"
"55","2019-Jul-06 17:01","17.7","44.3","5.4","2427","1","2019-10-13 12:22:43","","0","0","0","0"
