"device_database_name","address","name","version","logging_interval","last_pointer","mode","last_download","thresholds","calibration_temp","calibration_dewp","calibration_press","calibration_humi"
"EE:2D:E1:DB:AD:2D_2019-Jul-08 11:01","EE:2D:E1:DB:AD:2D","BM31_TRH","23","3600","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"log_index","Time","Temperature","Humidity","Dewpoint",,,,,,,,
"0","2019-Jul-08 11:01","16.8","48.2","5.8","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"1","2019-Jul-08 12:01","20.5","37.9","5.7","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"2","2019-Jul-08 13:01","12.4","55.3","3.7","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"3","2019-Jul-08 14:01","11.6","62.9","4.8","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"4","2019-Jul-08 15:01","14.0","57.2","5.7","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"5","2019-Jul-08 16:01","19.0","45.3","6.9","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"6","2019-Jul-08 17:01","18.0","43.3","5.4","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"7","2019-Jul-08 18:01","16.2","46.8","4.8","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"8","2019-Jul-08 19:01","14.2","54.5","5.2","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"9","2019-Jul-08 20:01","11.5","58.3","3.6","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"10","2019-Jul-08 21:01","9.1","68.1","3.5","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"11","2019-Jul-08 22:01","6.1","74.2","1.8","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"12","2019-Jul-08 23:01","4.5","77.9","0.9","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"13","2019-Jul-09 00:01","3.6","81.2","0.6","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"14","2019-Jul-09 01:01","2.6","83.3","0.0","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"15","2019-Jul-09 02:01","2.1","85","-0.1","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"16","2019-Jul-09 03:01","1.5","86.5","-0.5","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"17","2019-Jul-09 04:01","0.6","88.3","-1.1","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"18","2019-Jul-09 05:01","0.0","89","-1.5","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"19","2019-Jul-09 06:01","-0.4","90.2","-1.8","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"20","2019-Jul-09 07:01","-0.2","91.6","-1.4","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"21","2019-Jul-09 08:01","4.3","92.3","3.1","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"22","2019-Jul-09 09:01","13.9","50.7","3.8","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"23","2019-Jul-09 10:01","17.6","39","3.5","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"24","2019-Jul-09 11:01","17.1","36.3","2.0","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"25","2019-Jul-09 12:01","21.1","28.1","2.0","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"26","2019-Jul-09 13:01","21.9","24.2","0.6","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"27","2019-Jul-09 14:01","22.2","25.1","1.4","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"28","2019-Jul-09 15:01","21.4","26.4","1.4","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"29","2019-Jul-09 16:01","20.5","27.4","1.1","2329","1","2019-10-13 11:26:37","","0","0","0","0"
"30","2019-Jul-09 17:01","19.9","26.4","0.1","2329","1","2019-10-13 11:26:37","","0","0","0","0"
