"device_database_name","address","name","version","logging_interval","last_pointer","mode","last_download","thresholds","calibration_temp","calibration_dewp","calibration_press","calibration_humi"
"D4:F2:BA:E7:8C:5A_2019-Jul-08 14:01","D4:F2:BA:E7:8C:5A","BM44_Pr","27","3600","2326","1","2019-10-13 11:05:09","","0","0","0","0"
"log_index","Time","Temperature","Humidity","Pressure","Dewpoint",,,,,,,
"0","2019-Jul-08 14:01","10.8","71.7","715.9","5.9","1","2019-10-13 11:05:09","","0","0","0","0"
"1","2019-Jul-08 15:01","12.4","65","715.2","6.0","1","2019-10-13 11:05:09","","0","0","0","0"
"2","2019-Jul-08 16:01","17.0","53","714.9","7.4","1","2019-10-13 11:05:09","","0","0","0","0"
"3","2019-Jul-08 17:01","17.8","46.1","714.5","6.1","1","2019-10-13 11:05:09","","0","0","0","0"
"4","2019-Jul-08 18:01","16.6","46.9","714.3","5.2","1","2019-10-13 11:05:09","","0","0","0","0"
"5","2019-Jul-08 19:01","14.0","58.3","714.5","5.9","1","2019-10-13 11:05:09","","0","0","0","0"
"6","2019-Jul-08 20:01","11.2","61.7","714.5","4.1","1","2019-10-13 11:05:09","","0","0","0","0"
"7","2019-Jul-08 21:01","9.7","70.9","714.9","4.6","1","2019-10-13 11:05:09","","0","0","0","0"
"8","2019-Jul-08 22:01","7.1","74","715.1","2.7","1","2019-10-13 11:05:09","","0","0","0","0"
"9","2019-Jul-08 23:01","6.4","76.8","715.4","2.6","1","2019-10-13 11:05:09","","0","0","0","0"
"10","2019-Jul-09 00:01","5.7","77.6","715.2","2.1","1","2019-10-13 11:05:09","","0","0","0","0"
"11","2019-Jul-09 01:01","5.0","77.9","714.8","1.4","1","2019-10-13 11:05:09","","0","0","0","0"
"12","2019-Jul-09 02:01","4.4","84.5","715.5","2.0","1","2019-10-13 11:05:09","","0","0","0","0"
"13","2019-Jul-09 03:01","3.9","85.2","715.8","1.6","1","2019-10-13 11:05:09","","0","0","0","0"
"14","2019-Jul-09 04:01","2.9","89.2","716.2","1.3","1","2019-10-13 11:05:09","","0","0","0","0"
"15","2019-Jul-09 05:01","2.7","91.9","716.1","1.5","1","2019-10-13 11:05:09","","0","0","0","0"
"16","2019-Jul-09 06:01","2.2","93.4","716.6","1.2","1","2019-10-13 11:05:09","","0","0","0","0"
"17","2019-Jul-09 07:01","2.7","93.8","716.7","1.8","1","2019-10-13 11:05:09","","0","0","0","0"
"18","2019-Jul-09 08:01","5.5","86.2","716.7","3.3","1","2019-10-13 11:05:09","","0","0","0","0"
